trial_id,launch_angle,initial_velocity,flight_time,range_x,max_height,theoretical_range,residual,absolute_error,percent_error
1,15,12.1,0.63,7.53,0.55,7.462283384301731,0.06771661569826914,0.06771661569826914,0.9074516767980609
2,15,11.95,0.62,7.44,0.51,7.278414882772678,0.1615851172273226,0.1615851172273226,2.220059172633582
3,15,11.91,0.64,7.18,0.47,7.229770642201834,-0.04977064220183447,0.04977064220183447,0.688412463755237
4,15,12.05,0.59,7.23,0.48,7.400739041794087,-0.1707390417940866,0.1707390417940866,2.3070539419086997
5,15,11.8,0.63,7.0,0.43,7.096839959225279,-0.09683995922527888,0.09683995922527888,1.364550416546949
6,15,12.29,0.64,7.71,0.47,7.698476044852189,0.011523955147811016,0.011523955147811016,0.14969138152370878
7,15,11.89,0.63,7.09,0.5,7.205509683995921,-0.11550968399592154,0.11550968399592154,1.6030744397232417
8,15,11.88,0.62,7.13,0.55,7.193394495412844,-0.06339449541284381,0.06339449541284381,0.8812876237118631
9,15,12.0,0.61,7.42,0.45,7.339449541284401,0.08055045871559852,0.08055045871559852,1.0975000000000301
10,15,12.04,0.59,7.26,0.5,7.388460754332311,-0.12846075433231086,0.12846075433231086,1.7386673436275126
11,15,12.15,0.65,7.51,0.49,7.524082568807338,-0.01408256880733827,0.01408256880733827,0.18716659045875586
12,15,11.7,0.6,6.94,0.5,6.977064220183483,-0.03706422018348299,0.03706422018348299,0.531229454306331
13,20,12.07,0.8,9.58,0.85,9.545815355598624,0.034184644401376474,0.034184644401376474,0.35811130980369493
14,20,11.86,0.84,9.33,0.87,9.216539048263478,0.11346095173652238,0.11346095173652238,1.2310581134889238
15,20,11.83,0.82,9.21,0.87,9.169971346509737,0.04002865349026408,0.04002865349026408,0.4365188502524573
16,20,11.9,0.83,9.17,0.8,9.278812783660635,-0.1088127836606354,0.1088127836606354,1.1727015750576129
17,20,12.16,0.88,9.69,0.92,9.688702913238117,0.0012970867618822268,0.0012970867618822268,0.013387620339869828
18,20,12.07,0.83,9.59,0.92,9.545815355598624,0.04418464440137626,0.04418464440137626,0.46286925480348784
19,20,11.99,0.88,9.16,0.89,9.419695315728628,-0.2596953157286279,0.2596953157286279,2.756939657007792
20,20,12.02,0.83,9.47,0.79,9.466892045112646,0.0031079548873549356,0.0031079548873549356,0.03282972777702098
21,20,11.96,0.84,9.51,0.83,9.372616529025288,0.13738347097471149,0.13738347097471149,1.4657963499227762
22,20,11.84,0.81,9.27,0.85,9.185480809018685,0.08451919098131455,0.08451919098131455,0.9201389969519083
23,20,11.89,0.84,9.28,0.88,9.2632246926979,0.016775307302099307,0.016775307302099307,0.18109576155831672
24,20,11.86,0.82,9.18,0.79,9.216539048263478,-0.03653904826347798,0.03653904826347798,0.3964508593967541
25,25,12.06,1.05,11.36,1.32,11.357417081265993,0.002582918734006512,0.002582918734006512,0.022742131556188285
26,25,11.72,1.0,10.69,1.22,10.726059025047281,-0.03605902504728142,0.03605902504728142,0.33618148998692904
27,25,11.97,1.04,11.37,1.31,11.188535907246276,0.181464092753723,0.181464092753723,1.6218752324528667
28,25,12.05,1.04,11.15,1.32,11.338590035880063,-0.18859003588006296,0.18859003588006296,1.663258264769119
29,25,12.01,1.1,11.25,1.32,11.263438030573463,-0.013438030573462711,0.013438030573462711,0.11930664986113952
30,25,11.99,1.0,11.35,1.34,11.225955733662445,0.12404426633755428,0.12404426633755428,1.1049773336054753
31,25,12.16,1.02,11.68,1.3,11.546546504429516,0.13345349557048358,0.13345349557048358,1.1557871049953146
32,25,12.12,1.1,11.37,1.32,11.47070732367955,-0.1007073236795506,0.1007073236795506,0.8779521684042576
33,25,12.02,1.02,11.13,1.32,11.282202605464546,-0.15220260546454512,0.15220260546454512,1.3490504539497068
34,25,11.79,1.03,10.76,1.32,10.854568641769085,-0.09456864176908475,0.09456864176908475,0.871233532074029
35,25,11.84,1.01,11.03,1.23,10.94682975385319,0.08317024614680868,0.08317024614680868,0.7597655943953405
36,25,12.05,1.07,11.17,1.33,11.338590035880063,-0.16859003588006338,0.16859003588006338,1.4868694903561523
37,30,12.05,1.25,12.7,1.8,12.818456033945969,-0.11845603394596971,0.11845603394596971,0.924105318396172
38,30,12.1,1.24,12.96,1.88,12.92505396208763,0.03494603791237161,0.03494603791237161,0.2703744062877954
39,30,11.86,1.22,12.46,1.77,12.417409468517594,0.0425905314824071,0.0425905314824071,0.34299047309657266
40,30,12.37,1.27,13.4,1.97,13.508310153755662,-0.10831015375566189,0.10831015375566189,0.8018038712677087
41,30,11.81,1.22,12.42,1.75,12.312930256960115,0.10706974303988481,0.10706974303988481,0.8695715869856537
42,30,12.19,1.25,13.21,1.96,13.118042558949316,0.09195744105068471,0.09195744105068471,0.7009997157537047
